N,density,tail_std_mean,tail_std_sem
8,0.034782608695652174,0.00022588166020042998,8.271873591322767e-05
10,0.043478260869565216,0.00017957400752159324,1.8127085610937946e-05
12,0.05217391304347826,0.001217364410514777,0.00016776012940727575
14,0.06086956521739131,0.003419353391677539,0.0009152889499831566
16,0.06956521739130435,0.007322783195177769,0.0017710369861393947
18,0.0782608695652174,0.014110349742416838,0.002116903436451199
20,0.08695652173913043,0.014789361545213698,0.0032996281775948704
22,0.09565217391304348,0.023041369471483303,0.003951133183460544
24,0.10434782608695652,0.024460364236853015,0.005075407169234593
26,0.11304347826086956,0.03491658438851647,0.010089110846538386
28,0.12173913043478261,0.3865321457169815,0.14573005657373017
30,0.13043478260869565,0.41338989906624063,0.021097608007688957
32,0.1391304347826087,0.33903752923503516,0.011946560632018885
34,0.14782608695652175,0.18434446071454524,0.04472981094329317
36,0.1565217391304348,0.15564527195126443,0.026086446462215526
38,0.16521739130434782,0.13078376352332013,0.011677413470918468
40,0.17391304347826086,0.10319067835983327,0.012629778785516287
42,0.1826086956521739,0.07396271082637662,0.008779711664968597
44,0.19130434782608696,0.08985997520965096,0.009582507970270148
46,0.2,0.06103025398901922,0.0048254605407702985
48,0.20869565217391303,0.03350599815700888,0.0026823746009115856
50,0.21739130434782608,0.018734247368631128,0.0026425364980189946
52,0.22608695652173913,0.009496338258140913,0.000277962129138641
54,0.23478260869565218,0.008412514419203125,0.001009054789119418
56,0.24347826086956523,0.006434422081920135,7.670668473751236e-05
58,0.25217391304347825,0.00608689596487481,0.0008425487448829235
60,0.2608695652173913,0.004684143177604743,0.0003813609447632831
