mode,dropout,min_gap_mean,min_gap_p10,collision_rate,near_miss_rate_TTC_under_2s
privileged,0.0,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.1,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.2,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.3,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.4,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.5,1.9969584068486768,1.9969584068486768,0.0,1.0
naive,0.0,1.9969584068486768,1.9969584068486768,0.0,1.0
naive,0.1,1.1271938101100427,1.7798655681510667,0.06666666666666667,0.85
naive,0.2,-3.7551460931496945,-12.20028222465566,0.25,0.6833333333333333
naive,0.3,-4.5400510108797185,-10.625894148183493,0.21666666666666667,0.6166666666666667
naive,0.4,-13.39347641530879,-50.61978867003119,0.43333333333333335,0.45
naive,0.5,-11.175105185248558,-32.40449400110091,0.5166666666666667,0.31666666666666665
belief,0.0,1.9969584068486768,1.9969584068486768,0.0,1.0
belief,0.1,1.7752763721154552,1.9696767516904117,0.05,0.7166666666666667
belief,0.2,4.355988045011949,1.7344197112399997,0.05,0.43333333333333335
belief,0.3,2.5514491387579503,-3.3996312315523523,0.18333333333333332,0.11666666666666667
belief,0.4,3.8783062184386696,-7.355341567731784,0.2,0.18333333333333332
belief,0.5,2.740328534534021,-10.511162757174906,0.2,0.15
