mode,dropout,min_gap_mean,min_gap_p10,collision_rate,near_miss_rate_TTC_under_2s
privileged,0.0,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.1,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.2,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.3,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.4,1.9969584068486768,1.9969584068486768,0.0,1.0
privileged,0.5,1.9969584068486768,1.9969584068486768,0.0,1.0
naive,0.0,1.9969584068486768,1.9969584068486768,0.0,1.0
naive,0.1,-1.1792353200931047,0.004062262245282194,0.1,0.8
naive,0.2,-5.0605481684675375,-30.00681912493951,0.2,0.7166666666666667
naive,0.3,-9.650633936159641,-37.04208327549296,0.3333333333333333,0.5166666666666667
naive,0.4,-10.27268548867386,-48.09824484499516,0.45,0.45
naive,0.5,-13.848833125281072,-49.489869459650336,0.5166666666666667,0.3333333333333333
belief,0.0,1.9969584068486768,1.9969584068486768,0.0,1.0
belief,0.1,3.8661066305079492,1.528721525837057,0.05,0.6166666666666667
belief,0.2,0.8168103355115728,-9.743520122080284,0.2,0.4666666666666667
belief,0.3,2.862915608910508,-2.775759478710022,0.15,0.3333333333333333
belief,0.4,2.0159963127172547,-7.519718554782508,0.2,0.18333333333333332
belief,0.5,4.095939678332155,-12.991951890245968,0.13333333333333333,0.13333333333333333
