n_simulations,cumulative_discoveries_random,cumulative_discoveries_guided
1,0,1
2,0,1
3,0,1
4,1,2
5,1,2
6,1,3
7,1,3
8,1,3
9,1,3
10,2,3
11,2,3
12,2,4
13,3,4
14,3,5
15,3,6
16,3,6
17,3,6
18,4,6
19,5,7
20,6,7
21,6,8
22,7,9
23,7,9
24,7,10
25,7,11
26,7,11
27,7,12
28,8,12
29,8,13
30,8,14
31,8,15
32,9,15
33,9,16
34,10,17
35,10,17
36,11,18
37,12,19
38,13,20
39,13,20
40,13,21
41,14,22
42,14,22
43,15,23
44,16,24
45,16,25
46,17,26
47,17,26
48,17,27
49,18,28
50,18,29
51,18,30
52,19,30
53,20,30
54,20,31
55,21,31
56,21,32
57,21,33
58,21,34
59,21,35
60,22,35
61,22,36
62,22,37
63,22,38
64,22,39
65,22,40
66,22,41
67,23,41
68,23,42
69,23,43
70,24,44
71,24,44
72,25,44
73,26,44
74,27,45
75,28,46
76,29,47
77,29,47
78,29,48
79,30,49
80,31,50
81,32,50
82,32,51
83,33,51
84,34,52
85,34,53
86,35,54
87,35,55
88,35,56
89,36,57
90,36,58
